name,year,disrupted,source
This list may not reflect recent changes,1995,1,wikipedia_ch11
5-7-9,1995,1,wikipedia_ch11
Absolute Entertainment,1995,1,wikipedia_ch11
Bakers Shoes,1995,1,wikipedia_ch11
Bradlees,1995,1,wikipedia_ch11
Caldor,1995,1,wikipedia_ch11
Carolco Pictures,1995,1,wikipedia_ch11
Clothestime,1995,1,wikipedia_ch11
Conneaut Lake Park,1995,1,wikipedia_ch11
Cray Computer Corporation,1995,1,wikipedia_ch11
Dow Corning,1995,1,wikipedia_ch11
Edison Brothers Stores,1995,1,wikipedia_ch11
Elder-Beerman,1995,1,wikipedia_ch11
Fretter,1995,1,wikipedia_ch11
Grand Union (supermarket),1995,1,wikipedia_ch11
Haggar Clothing,1995,1,wikipedia_ch11
Hamburger Hamlet,1995,1,wikipedia_ch11
Handy Andy Home Improvement Center,1995,1,wikipedia_ch11
Hemdale Film Corporation,1995,1,wikipedia_ch11
It's About Games,1995,1,wikipedia_ch11
Jamesway,1995,1,wikipedia_ch11
Kroch's and Brentano's,1995,1,wikipedia_ch11
Krystal (restaurant),1995,1,wikipedia_ch11
Lamonts,1995,1,wikipedia_ch11
Los Angeles Kings,1995,1,wikipedia_ch11
Lykes Brothers Steamship Company,1995,1,wikipedia_ch11
Prange Way,1995,1,wikipedia_ch11
Silo (store),1995,1,wikipedia_ch11
Smith Corona,1995,1,wikipedia_ch11
Stuarts (store),1995,1,wikipedia_ch11
Swallen's,1995,1,wikipedia_ch11
Trans World Airlines,1995,1,wikipedia_ch11
Weiner's,1995,1,wikipedia_ch11
Wood Knapp Video,1995,1,wikipedia_ch11
WWTN,1995,1,wikipedia_ch11
This list may not reflect recent changes,1996,1,wikipedia_ch11
21st Century Film Corporation,1996,1,wikipedia_ch11
Action Park,1996,1,wikipedia_ch11
Barneys New York,1996,1,wikipedia_ch11
Barneys Warehouse,1996,1,wikipedia_ch11
Ben Franklin (company),1996,1,wikipedia_ch11
Bennett Funding Group,1996,1,wikipedia_ch11
Best Products,1996,1,wikipedia_ch11
Brendle's,1996,1,wikipedia_ch11
Camelot Music,1996,1,wikipedia_ch11
Consumers Distributing,1996,1,wikipedia_ch11
County Seat (store),1996,1,wikipedia_ch11
Discovery Zone,1996,1,wikipedia_ch11
Ernst Home Centers,1996,1,wikipedia_ch11
GameStop,1996,1,wikipedia_ch11
Gander Mountain,1996,1,wikipedia_ch11
Herman's World of Sporting Goods,1996,1,wikipedia_ch11
Homeland (supermarket),1996,1,wikipedia_ch11
Lillie Rubin,1996,1,wikipedia_ch11
Marvel Comics,1996,1,wikipedia_ch11
Marvel Studios,1996,1,wikipedia_ch11
Pacific Linen,1996,1,wikipedia_ch11
Rax Roast Beef,1996,1,wikipedia_ch11
Rickel,1996,1,wikipedia_ch11
Rocky Point Amusement Park,1996,1,wikipedia_ch11
Sizzler,1996,1,wikipedia_ch11
Software Etc.,1996,1,wikipedia_ch11
Spaceplex,1996,1,wikipedia_ch11
Today's Man (retailer),1996,1,wikipedia_ch11
This list may not reflect recent changes,1997,1,wikipedia_ch11
Air21,1997,1,wikipedia_ch11
Carrows,1997,1,wikipedia_ch11
Centerplate,1997,1,wikipedia_ch11
Coco's Bakery,1997,1,wikipedia_ch11
Commerce Square,1997,1,wikipedia_ch11
Denny's,1997,1,wikipedia_ch11
Farm Fresh Food & Pharmacy,1997,1,wikipedia_ch11
GameTek,1997,1,wikipedia_ch11
KAZT-TV,1997,1,wikipedia_ch11
"Keck, Mahin & Cate",1997,1,wikipedia_ch11
Lechmere,1997,1,wikipedia_ch11
Levitz Furniture,1997,1,wikipedia_ch11
Luria's,1997,1,wikipedia_ch11
Luskin's,1997,1,wikipedia_ch11
Maidenform,1997,1,wikipedia_ch11
Medieval Times,1997,1,wikipedia_ch11
Montgomery Ward,1997,1,wikipedia_ch11
Payless Cashways,1997,1,wikipedia_ch11
El Pollo Loco (United States),1997,1,wikipedia_ch11
Safelite,1997,1,wikipedia_ch11
Steinberg's (electronics store),1997,1,wikipedia_ch11
Trans World Corporation,1997,1,wikipedia_ch11
The Wiz (store),1997,1,wikipedia_ch11
WYBC (AM),1997,1,wikipedia_ch11
This list may not reflect recent changes,1998,1,wikipedia_ch11
Adray's,1998,1,wikipedia_ch11
Allegheny Health Network,1998,1,wikipedia_ch11
Boston Market,1998,1,wikipedia_ch11
Bruno's,1998,1,wikipedia_ch11
Carnival Air Lines,1998,1,wikipedia_ch11
Crown Books,1998,1,wikipedia_ch11
Electro Brain,1998,1,wikipedia_ch11
Food World,1998,1,wikipedia_ch11
Foodtown (United States),1998,1,wikipedia_ch11
Grand Union (supermarket),1998,1,wikipedia_ch11
Hayes Microcomputer Products,1998,1,wikipedia_ch11
JT Storage,1998,1,wikipedia_ch11
Kenny Rogers Roasters,1998,1,wikipedia_ch11
LA Gear,1998,1,wikipedia_ch11
Liberty House (department store),1998,1,wikipedia_ch11
Lillie Rubin,1998,1,wikipedia_ch11
Livent,1998,1,wikipedia_ch11
Lone Star Airlines,1998,1,wikipedia_ch11
Long John Silver's,1998,1,wikipedia_ch11
Lyon's,1998,1,wikipedia_ch11
Merle Hay Mall,1998,1,wikipedia_ch11
Namco Cybertainment,1998,1,wikipedia_ch11
NextWave Wireless,1998,1,wikipedia_ch11
Pan Am (1996–1998),1998,1,wikipedia_ch11
Pittsburgh Penguins,1998,1,wikipedia_ch11
Psychic Friends Network,1998,1,wikipedia_ch11
Raybestos,1998,1,wikipedia_ch11
Smith & Hawken,1998,1,wikipedia_ch11
Sun Television and Appliances,1998,1,wikipedia_ch11
Super Shops,1998,1,wikipedia_ch11
Venture Stores,1998,1,wikipedia_ch11
This list may not reflect recent changes,1999,1,wikipedia_ch11
5-7-9,1999,1,wikipedia_ch11
ABCorp,1999,1,wikipedia_ch11
AccessAir,1999,1,wikipedia_ch11
Allion Healthcare,1999,1,wikipedia_ch11
American Family Publishers,1999,1,wikipedia_ch11
Bakers Shoes,1999,1,wikipedia_ch11
Big Bear Stores,1999,1,wikipedia_ch11
Builders Square,1999,1,wikipedia_ch11
Caldor,1999,1,wikipedia_ch11
Chalk's International Airlines,1999,1,wikipedia_ch11
County Seat (store),1999,1,wikipedia_ch11
Crowley's,1999,1,wikipedia_ch11
Davis Industries,1999,1,wikipedia_ch11
Delchamps,1999,1,wikipedia_ch11
Discovery Zone,1999,1,wikipedia_ch11
Edison Brothers Stores,1999,1,wikipedia_ch11
Factory Card Outlet,1999,1,wikipedia_ch11
Fedco,1999,1,wikipedia_ch11
Filene's Basement,1999,1,wikipedia_ch11
Five Rivers Electronic Innovations,1999,1,wikipedia_ch11
Fruit of the Loom,1999,1,wikipedia_ch11
Gantos,1999,1,wikipedia_ch11
Geneva Steel,1999,1,wikipedia_ch11
Golden Books,1999,1,wikipedia_ch11
Harnischfeger,1999,1,wikipedia_ch11
Hechinger,1999,1,wikipedia_ch11
Home Quarters Warehouse,1999,1,wikipedia_ch11
Ichiban Records,1999,1,wikipedia_ch11
Iridium Communications,1999,1,wikipedia_ch11
J. Peterman Company,1999,1,wikipedia_ch11
Jay Jacobs (retailer),1999,1,wikipedia_ch11
Jitney Jungle,1999,1,wikipedia_ch11
Just For Feet,1999,1,wikipedia_ch11
Kindred Healthcare,1999,1,wikipedia_ch11
Kiwi International Air Lines,1999,1,wikipedia_ch11
Little Golden Books,1999,1,wikipedia_ch11
Loehmann's,1999,1,wikipedia_ch11
MJ Designs,1999,1,wikipedia_ch11
Official All Star Café,1999,1,wikipedia_ch11
P&C Foods,1999,1,wikipedia_ch11
Pendrell Corporation,1999,1,wikipedia_ch11
Penn Traffic,1999,1,wikipedia_ch11
Philip Services Corp,1999,1,wikipedia_ch11
Planet Hollywood,1999,1,wikipedia_ch11
Purina Mills,1999,1,wikipedia_ch11
Quality Markets,1999,1,wikipedia_ch11
Reynolds Technology,1999,1,wikipedia_ch11
Service Merchandise,1999,1,wikipedia_ch11
Singer Corporation,1999,1,wikipedia_ch11
Starter (clothing line),1999,1,wikipedia_ch11
Steinbach (store),1999,1,wikipedia_ch11
Tabu by Dana,1999,1,wikipedia_ch11
Zenith Electronics,1999,1,wikipedia_ch11
This list may not reflect recent changes,2000,1,wikipedia_ch11
Allegiant Air,2000,1,wikipedia_ch11
Ampad,2000,1,wikipedia_ch11
Armstrong World Industries,2000,1,wikipedia_ch11
