cik,name,sic,sic_description,state,n_10k,n_8k,n_total_filings,tier,ticker,disrupted
0001045810,NVIDIA CORP,3674,Semiconductors & Related Devices,DE,6,59,1000,2,NVDA,0
0000320193,Apple Inc.,3571,Electronic Computers,CA,11,105,1000,1,AAPL,0
0001652044,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",DE,4,38,1000,2,GOOGL,0
0000789019,MICROSOFT CORP,7372,Services-Prepackaged Software,WA,6,66,1001,2,MSFT,0
0001018724,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,DE,7,60,1001,4,AMZN,0
0001326801,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",DE,2,19,1001,2,META,0
0001730168,Broadcom Inc.,3674,Semiconductors & Related Devices,,8,111,895,2,AVGO,0
0001318605,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,TX,9,126,1000,2,TSLA,0
0001067983,BERKSHIRE HATHAWAY INC,6331,"Fire, Marine & Casualty Insurance",DE,9,73,1000,2,BRK-B,0
0000104169,Walmart Inc.,5331,Retail-Variety Stores,DE,3,47,1000,4,WMT,0
0000059478,ELI LILLY & Co,2834,Pharmaceutical Preparations,IN,5,47,1003,1,LLY,0
0000019617,JPMORGAN CHASE & CO,6021,National Commercial Banks,DE,1,22,22909,2,JPM,0
0000034088,EXXON MOBIL CORP,2911,Petroleum Refining,NJ,7,107,1001,1,XOM,0
0000884394,SPDR S&P 500 ETF TRUST,0,,NY,0,0,270,2,SPY,0
0001403161,VISA INC.,7389,"Services-Business Services, NEC",DE,12,171,1000,2,V,0
0000200406,JOHNSON & JOHNSON,2834,Pharmaceutical Preparations,NJ,9,99,1000,1,JNJ,0
0000937966,ASML HOLDING NV,3559,"Special Industry Machinery, NEC",,0,0,584,1,ASML,0
0000723125,MICRON TECHNOLOGY INC,3674,Semiconductors & Related Devices,DE,9,139,1002,2,MU,0
0001141391,Mastercard Inc,7389,"Services-Business Services, NEC",DE,9,93,1000,2,MA,0
0001341439,ORACLE CORP,7372,Services-Prepackaged Software,,10,92,1000,2,ORCL,0
0000909832,COSTCO WHOLESALE CORP /NEW,5331,Retail-Variety Stores,WA,10,118,1000,4,COST,0
0001551152,AbbVie Inc.,2834,Pharmaceutical Preparations,DE,10,137,1011,1,ABBV,0
0000070858,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks,DE,1,16,10789,2,BAC,0
0000354950,"HOME DEPOT, INC.",5211,Retail-Lumber & Other Building Materials Dealers,DE,9,101,1009,4,HD,0
0001577552,Alibaba Group Holding Ltd,7389,"Services-Business Services, NEC",K3,0,0,578,2,BABA,0
0000093410,CHEVRON CORP,2911,Petroleum Refining,DE,7,101,1003,1,CVX,0
0000080424,PROCTER & GAMBLE Co,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",OH,4,86,1002,1,PG,0
0000018230,CATERPILLAR INC,3531,Construction Machinery & Equip,DE,8,109,1000,1,CAT,0
0000040545,GENERAL ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip),NY,8,122,1002,2,GE,0
0000021344,COCA COLA CO,2080,Beverages,DE,9,116,1000,1,KO,0
0001065280,NETFLIX INC,7841,Services-Video Tape Rental,DE,4,30,1016,2,NFLX,0
